timestamp,request_id,agency,provider,flow_type,status_code,error_category,response_time_seconds,result
01/11/2025 16:02:47,REQ-921345677,Revolut,Agoda,Valuation,200,,1.11,SUCCESS
31/10/2025 16:02:47,REQ-921345678,Hopper,Expedia,Book,429,Rate Limit,3.55,ERROR
30/10/2025 16:02:47,REQ-921345679,Snap,GOGlobal,Prebook,200,,0.97,SUCCESS
29/10/2025 16:02:47,REQ-921345671,Revolut,Hotelbeds,Prebook,200,,1.23,SUCCESS
28/10/2025 16:02:47,REQ-921345672,Revolut,Hotelbeds,Book,500,Upstream Error,3.85,ERROR
27/10/2025 16:02:47,REQ-921345673,Hopper,Agoda,Valuation,200,,1.87,SUCCESS
26/10/2025 16:02:47,REQ-921345674,Snap,GOGlobal,Prebook,408,Timeout,4.12,ERROR
25/10/2025 16:02:47,REQ-921345675,Traveloka,Expedia,Book,201,,0.98,SUCCESS
24/10/2025 16:02:47,REQ-921345676,BookingPartner,DOTW,Prebook,403,Authentication Failed,2.14,ERROR
23/10/2025 16:02:47,REQ-921345677,Revolut,Agoda,Valuation,200,,1.11,SUCCESS
22/10/2025 16:02:47,REQ-921345678,Hopper,Expedia,Book,429,Rate Limit,3.55,ERROR
21/10/2025 16:02:47,REQ-921345679,Snap,GOGlobal,Prebook,200,,0.97,SUCCESS
20/10/2025 16:02:47,REQ-921345680,Traveloka,Hotelbeds,Book,502,Upstream Error,4.20,ERROR
19/10/2025 16:02:47,REQ-921345671,Revolut,Hotelbeds,Prebook,200,,1.23,SUCCESS
18/10/2025 16:02:47,REQ-921345672,Revolut,Hotelbeds,Book,500,Upstream Error,3.85,ERROR
17/10/2025 16:02:47,REQ-921345673,Hopper,Agoda,Valuation,200,,1.87,SUCCESS
16/10/2025 16:02:47,REQ-921345674,Snap,GOGlobal,Prebook,408,Timeout,4.12,ERROR
15/10/2025 16:02:47,REQ-921345675,Traveloka,Expedia,Book,201,,0.98,SUCCESS
14/10/2025 16:02:47,REQ-921345676,BookingPartner,DOTW,Prebook,403,Authentication Failed,2.14,ERROR
13/10/2025 16:02:47,REQ-921345677,Revolut,Agoda,Valuation,200,,1.11,SUCCESS
12/10/2025 16:02:47,REQ-921345678,Hopper,Expedia,Book,429,Rate Limit,3.55,ERROR
11/10/2025 16:02:47,REQ-921345679,Snap,GOGlobal,Prebook,200,,0.97,SUCCESS
10/10/2025 16:02:47,REQ-921345671,Revolut,Hotelbeds,Prebook,200,,1.23,SUCCESS
09/10/2025 16:02:47,REQ-921345672,Revolut,Hotelbeds,Book,500,Upstream Error,3.85,ERROR
08/10/2025 16:02:47,REQ-921345673,Hopper,Agoda,Valuation,200,,1.87,SUCCESS
07/10/2025 16:02:47,REQ-921345674,Snap,GOGlobal,Prebook,408,Timeout,4.12,ERROR
06/10/2025 16:02:47,REQ-921345675,Traveloka,Expedia,Book,201,,0.98,SUCCESS
05/10/2025 16:02:47,REQ-921345676,BookingPartner,DOTW,Prebook,403,Authentication Failed,2.14,ERROR
04/10/2025 16:02:47,REQ-921345677,Revolut,Agoda,Valuation,200,,1.11,SUCCESS
03/10/2025 16:02:47,REQ-921345678,Hopper,Expedia,Book,429,Rate Limit,3.55,ERROR
02/10/2025 16:02:47,REQ-921345679,Snap,GOGlobal,Prebook,200,,0.97,SUCCESS
01/10/2025 16:02:47,REQ-921345680,Traveloka,Hotelbeds,Book,502,Upstream Error,4.20,ERROR
30/09/2025 16:02:47,REQ-921345671,Revolut,Hotelbeds,Prebook,200,,1.23,SUCCESS
29/09/2025 16:02:47,REQ-921345672,Revolut,Hotelbeds,Book,500,Upstream Error,3.85,ERROR
28/09/2025 16:02:47,REQ-921345673,Hopper,Agoda,Valuation,200,,1.87,SUCCESS
27/09/2025 16:02:47,REQ-921345674,Snap,GOGlobal,Prebook,408,Timeout,4.12,ERROR
26/09/2025 16:02:47,REQ-921345675,Traveloka,Expedia,Book,201,,0.98,SUCCESS
25/09/2025 16:02:47,REQ-921345676,BookingPartner,DOTW,Prebook,403,Authentication Failed,2.14,ERROR
24/09/2025 16:02:47,REQ-921345677,Revolut,Agoda,Valuation,200,,1.11,SUCCESS
23/09/2025 16:02:47,REQ-921345678,Hopper,Expedia,Book,429,Rate Limit,3.55,ERROR
22/09/2025 16:02:47,REQ-921345679,Snap,GOGlobal,Prebook,200,,0.97,SUCCESS
21/09/2025 16:02:47,REQ-921345671,Revolut,Hotelbeds,Prebook,200,,1.23,SUCCESS
20/09/2025 16:02:47,REQ-921345672,Revolut,Hotelbeds,Book,500,Upstream Error,3.85,ERROR
19/09/2025 16:02:47,REQ-921345673,Hopper,Agoda,Valuation,200,,1.87,SUCCESS
18/09/2025 16:02:47,REQ-921345674,Snap,GOGlobal,Prebook,408,Timeout,4.12,ERROR
17/09/2025 16:02:47,REQ-921345675,Traveloka,Expedia,Book,201,,0.98,SUCCESS
16/09/2025 16:02:47,REQ-921345676,BookingPartner,DOTW,Prebook,403,Authentication Failed,2.14,ERROR
15/09/2025 16:02:47,REQ-921345677,Revolut,Agoda,Valuation,200,,1.11,SUCCESS
14/09/2025 16:02:47,REQ-921345678,Hopper,Expedia,Book,429,Rate Limit,3.55,ERROR
13/09/2025 16:02:47,REQ-921345679,Snap,GOGlobal,Prebook,200,,0.97,SUCCESS
12/09/2025 16:02:47,REQ-921345680,Traveloka,Hotelbeds,Book,502,Upstream Error,4.20,ERROR
11/09/2025 16:02:47,REQ-921345671,Revolut,Hotelbeds,Prebook,200,,1.23,SUCCESS
10/09/2025 16:02:47,REQ-921345672,Revolut,Hotelbeds,Book,500,Upstream Error,3.85,ERROR
09/09/2025 16:02:47,REQ-921345673,Hopper,Agoda,Valuation,200,,1.87,SUCCESS
08/09/2025 16:02:47,REQ-921345674,Snap,GOGlobal,Prebook,408,Timeout,4.12,ERROR
07/09/2025 16:02:47,REQ-921345675,Traveloka,Expedia,Book,201,,0.98,SUCCESS
06/09/2025 16:02:47,REQ-921345676,BookingPartner,DOTW,Prebook,403,Authentication Failed,2.14,ERROR
05/09/2025 16:02:47,REQ-921345677,Revolut,Agoda,Valuation,200,,1.11,SUCCESS
04/09/2025 16:02:47,REQ-921345678,Hopper,Expedia,Book,429,Rate Limit,3.55,ERROR
03/09/2025 16:02:47,REQ-921345679,Snap,GOGlobal,Prebook,200,,0.97,SUCCESS
02/09/2025 16:02:47,REQ-921345671,Revolut,Hotelbeds,Prebook,200,,1.23,SUCCESS
01/09/2025 16:02:47,REQ-921345672,Revolut,Hotelbeds,Book,500,Upstream Error,3.85,ERROR
31/08/2025 16:02:47,REQ-921345673,Hopper,Agoda,Valuation,200,,1.87,SUCCESS
30/08/2025 16:02:47,REQ-921345674,Snap,GOGlobal,Prebook,408,Timeout,4.12,ERROR
29/08/2025 16:02:47,REQ-921345675,Traveloka,Expedia,Book,201,,0.98,SUCCESS
28/08/2025 16:02:47,REQ-921345676,BookingPartner,DOTW,Prebook,403,Authentication Failed,2.14,ERROR
27/08/2025 16:02:47,REQ-921345677,Revolut,Agoda,Valuation,200,,1.11,SUCCESS
26/08/2025 16:02:47,REQ-921345678,Hopper,Expedia,Book,429,Rate Limit,3.55,ERROR
25/08/2025 16:02:47,REQ-921345679,Snap,GOGlobal,Prebook,200,,0.97,SUCCESS
24/08/2025 16:02:47,REQ-921345680,Traveloka,Hotelbeds,Book,502,Upstream Error,4.20,ERROR
23/08/2025 16:02:47,REQ-921345671,Revolut,Hotelbeds,Prebook,200,,1.23,SUCCESS
22/08/2025 16:02:47,REQ-921345672,Revolut,Hotelbeds,Book,500,Upstream Error,3.85,ERROR
21/08/2025 16:02:47,REQ-921345673,Hopper,Agoda,Valuation,200,,1.87,SUCCESS
20/08/2025 16:02:47,REQ-921345674,Snap,GOGlobal,Prebook,408,Timeout,4.12,ERROR
19/08/2025 16:02:47,REQ-921345675,Traveloka,Expedia,Book,201,,0.98,SUCCESS
18/08/2025 16:02:47,REQ-921345676,BookingPartner,DOTW,Prebook,403,Authentication Failed,2.14,ERROR
17/08/2025 16:02:47,REQ-921345677,Revolut,Agoda,Valuation,200,,1.11,SUCCESS
16/08/2025 16:02:47,REQ-921345678,Hopper,Expedia,Book,429,Rate Limit,3.55,ERROR
15/08/2025 16:02:47,REQ-921345679,Snap,GOGlobal,Prebook,200,,0.97,SUCCESS
14/08/2025 16:02:47,REQ-921345671,Revolut,Hotelbeds,Prebook,200,,1.23,SUCCESS
13/08/2025 16:02:47,REQ-921345672,Revolut,Hotelbeds,Book,500,Upstream Error,3.85,ERROR
12/08/2025 16:02:47,REQ-921345673,Hopper,Agoda,Valuation,200,,1.87,SUCCESS
11/08/2025 16:02:47,REQ-921345674,Snap,GOGlobal,Prebook,408,Timeout,4.12,ERROR
10/08/2025 16:02:47,REQ-921345675,Traveloka,Expedia,Book,201,,0.98,SUCCESS
09/08/2025 16:02:47,REQ-921345676,BookingPartner,DOTW,Prebook,403,Authentication Failed,2.14,ERROR
08/08/2025 16:02:47,REQ-921345677,Revolut,Agoda,Valuation,200,,1.11,SUCCESS
07/08/2025 16:02:47,REQ-921345678,Hopper,Expedia,Book,429,Rate Limit,3.55,ERROR
06/08/2025 16:02:47,REQ-921345679,Snap,GOGlobal,Prebook,200,,0.97,SUCCESS
05/08/2025 16:02:47,REQ-921345680,Traveloka,Hotelbeds,Book,502,Upstream Error,4.20,ERROR
04/08/2025 16:02:47,REQ-921345671,Revolut,Hotelbeds,Prebook,200,,1.23,SUCCESS
03/08/2025 16:02:47,REQ-921345672,Revolut,Hotelbeds,Book,500,Upstream Error,3.85,ERROR
02/08/2025 16:02:47,REQ-921345673,Hopper,Agoda,Valuation,200,,1.87,SUCCESS
01/08/2025 16:02:47,REQ-921345674,Snap,GOGlobal,Prebook,408,Timeout,4.12,ERROR
31/07/2025 16:02:47,REQ-921345675,Traveloka,Expedia,Book,201,,0.98,SUCCESS
30/07/2025 16:02:47,REQ-921345676,BookingPartner,DOTW,Prebook,403,Authentication Failed,2.14,ERROR
29/07/2025 16:02:47,REQ-921345677,Revolut,Agoda,Valuation,200,,1.11,SUCCESS
28/07/2025 16:02:47,REQ-921345678,Hopper,Expedia,Book,429,Rate Limit,3.55,ERROR
27/07/2025 16:02:47,REQ-921345679,Snap,GOGlobal,Prebook,200,,0.97,SUCCESS
26/07/2025 16:02:47,REQ-921345671,Revolut,Hotelbeds,Prebook,200,,1.23,SUCCESS
25/07/2025 16:02:47,REQ-921345672,Revolut,Hotelbeds,Book,500,Upstream Error,3.85,ERROR
24/07/2025 16:02:47,REQ-921345673,Hopper,Agoda,Valuation,200,,1.87,SUCCESS
23/07/2025 16:02:47,REQ-921345674,Snap,GOGlobal,Prebook,408,Timeout,4.12,ERROR
22/07/2025 16:02:47,REQ-921345675,Traveloka,Expedia,Book,201,,0.98,SUCCESS
21/07/2025 16:02:47,REQ-921345676,BookingPartner,DOTW,Prebook,403,Authentication Failed,2.14,ERROR
20/07/2025 16:02:47,REQ-921345677,Revolut,Agoda,Valuation,200,,1.11,SUCCESS
19/07/2025 16:02:47,REQ-921345678,Hopper,Expedia,Book,429,Rate Limit,3.55,ERROR
18/07/2025 16:02:47,REQ-921345679,Snap,GOGlobal,Prebook,200,,0.97,SUCCESS
17/07/2025 16:02:47,REQ-921345680,Traveloka,Hotelbeds,Book,502,Upstream Error,4.20,ERROR
16/07/2025 16:02:47,REQ-921345671,Revolut,Hotelbeds,Prebook,200,,1.23,SUCCESS
15/07/2025 16:02:47,REQ-921345672,Revolut,Hotelbeds,Book,500,Upstream Error,3.85,ERROR
14/07/2025 16:02:47,REQ-921345673,Hopper,Agoda,Valuation,200,,1.87,SUCCESS
13/07/2025 16:02:47,REQ-921345674,Snap,GOGlobal,Prebook,408,Timeout,4.12,ERROR
12/07/2025 16:02:47,REQ-921345675,Traveloka,Expedia,Book,201,,0.98,SUCCESS
11/07/2025 16:02:47,REQ-921345676,BookingPartner,DOTW,Prebook,403,Authentication Failed,2.14,ERROR
10/07/2025 16:02:47,REQ-921345677,Revolut,Agoda,Valuation,200,,1.11,SUCCESS
09/07/2025 16:02:47,REQ-921345678,Hopper,Expedia,Book,429,Rate Limit,3.55,ERROR
08/07/2025 16:02:47,REQ-921345679,Snap,GOGlobal,Prebook,200,,0.97,SUCCESS
07/07/2025 16:02:47,REQ-921345671,Revolut,Hotelbeds,Prebook,200,,1.23,SUCCESS
06/07/2025 16:02:47,REQ-921345672,Revolut,Hotelbeds,Book,500,Upstream Error,3.85,ERROR
05/07/2025 16:02:47,REQ-921345673,Hopper,Agoda,Valuation,200,,1.87,SUCCESS
04/07/2025 16:02:47,REQ-921345674,Snap,GOGlobal,Prebook,408,Timeout,4.12,ERROR
03/07/2025 16:02:47,REQ-921345675,Traveloka,Expedia,Book,201,,0.98,SUCCESS
02/07/2025 16:02:47,REQ-921345676,BookingPartner,DOTW,Prebook,403,Authentication Failed,2.14,ERROR
01/07/2025 16:02:47,REQ-921345677,Revolut,Agoda,Valuation,200,,1.11,SUCCESS
30/06/2025 16:02:47,REQ-921345678,Hopper,Expedia,Book,429,Rate Limit,3.55,ERROR
29/06/2025 16:02:47,REQ-921345679,Snap,GOGlobal,Prebook,200,,0.97,SUCCESS
28/06/2025 16:02:47,REQ-921345680,Traveloka,Hotelbeds,Book,502,Upstream Error,4.20,ERROR
27/06/2025 16:02:47,REQ-921345671,Revolut,Hotelbeds,Prebook,200,,1.23,SUCCESS
26/06/2025 16:02:47,REQ-921345672,Revolut,Hotelbeds,Book,500,Upstream Error,3.85,ERROR
25/06/2025 16:02:47,REQ-921345673,Hopper,Agoda,Valuation,200,,1.87,SUCCESS
24/06/2025 16:02:47,REQ-921345674,Snap,GOGlobal,Prebook,408,Timeout,4.12,ERROR
23/06/2025 16:02:47,REQ-921345675,Traveloka,Expedia,Book,201,,0.98,SUCCESS
22/06/2025 16:02:47,REQ-921345676,BookingPartner,DOTW,Prebook,403,Authentication Failed,2.14,ERROR
21/06/2025 16:02:47,REQ-921345677,Revolut,Agoda,Valuation,200,,1.11,SUCCESS
20/06/2025 16:02:47,REQ-921345678,Hopper,Expedia,Book,429,Rate Limit,3.55,ERROR
19/06/2025 16:02:47,REQ-921345679,Snap,GOGlobal,Prebook,200,,0.97,SUCCESS
18/06/2025 16:02:47,REQ-921345671,Revolut,Hotelbeds,Prebook,200,,1.23,SUCCESS
17/06/2025 16:02:47,REQ-921345672,Revolut,Hotelbeds,Book,500,Upstream Error,3.85,ERROR
16/06/2025 16:02:47,REQ-921345673,Hopper,Agoda,Valuation,200,,1.87,SUCCESS
15/06/2025 16:02:47,REQ-921345674,Snap,GOGlobal,Prebook,408,Timeout,4.12,ERROR
14/06/2025 16:02:47,REQ-921345675,Traveloka,Expedia,Book,201,,0.98,SUCCESS
13/06/2025 16:02:47,REQ-921345676,BookingPartner,DOTW,Prebook,403,Authentication Failed,2.14,ERROR
12/06/2025 16:02:47,REQ-921345677,Revolut,Agoda,Valuation,200,,1.11,SUCCESS
11/06/2025 16:02:47,REQ-921345678,Hopper,Expedia,Book,429,Rate Limit,3.55,ERROR
10/06/2025 16:02:47,REQ-921345679,Snap,GOGlobal,Prebook,200,,0.97,SUCCESS
09/06/2025 16:02:47,REQ-921345680,Traveloka,Hotelbeds,Book,502,Upstream Error,4.20,ERROR
08/06/2025 16:02:47,REQ-921345671,Revolut,Hotelbeds,Prebook,200,,1.23,SUCCESS
07/06/2025 16:02:47,REQ-921345672,Revolut,Hotelbeds,Book,500,Upstream Error,3.85,ERROR
06/06/2025 16:02:47,REQ-921345673,Hopper,Agoda,Valuation,200,,1.87,SUCCESS
05/06/2025 16:02:47,REQ-921345674,Snap,GOGlobal,Prebook,408,Timeout,4.12,ERROR
04/06/2025 16:02:47,REQ-921345675,Traveloka,Expedia,Book,201,,0.98,SUCCESS
03/06/2025 16:02:47,REQ-921345676,BookingPartner,DOTW,Prebook,403,Authentication Failed,2.14,ERROR
02/06/2025 16:02:47,REQ-921345677,Revolut,Agoda,Valuation,200,,1.11,SUCCESS
01/06/2025 16:02:47,REQ-921345678,Hopper,Expedia,Book,429,Rate Limit,3.55,ERROR
31/05/2025 16:02:47,REQ-921345679,Snap,GOGlobal,Prebook,200,,0.97,SUCCESS
30/05/2025 16:02:47,REQ-921345671,Revolut,Hotelbeds,Prebook,200,,1.23,SUCCESS
29/05/2025 16:02:47,REQ-921345672,Revolut,Hotelbeds,Book,500,Upstream Error,3.85,ERROR
28/05/2025 16:02:47,REQ-921345673,Hopper,Agoda,Valuation,200,,1.87,SUCCESS
27/05/2025 16:02:47,REQ-921345674,Snap,GOGlobal,Prebook,408,Timeout,4.12,ERROR
26/05/2025 16:02:47,REQ-921345675,Traveloka,Expedia,Book,201,,0.98,SUCCESS
25/05/2025 16:02:47,REQ-921345676,BookingPartner,DOTW,Prebook,403,Authentication Failed,2.14,ERROR
24/05/2025 16:02:47,REQ-921345677,Revolut,Agoda,Valuation,200,,1.11,SUCCESS
23/05/2025 16:02:47,REQ-921345678,Hopper,Expedia,Book,429,Rate Limit,3.55,ERROR
22/05/2025 16:02:47,REQ-921345679,Snap,GOGlobal,Prebook,200,,0.97,SUCCESS
21/05/2025 16:02:47,REQ-921345680,Traveloka,Hotelbeds,Book,502,Upstream Error,4.20,ERROR
20/05/2025 16:02:47,REQ-921345671,Revolut,Hotelbeds,Prebook,200,,1.23,SUCCESS
19/05/2025 16:02:47,REQ-921345672,Revolut,Hotelbeds,Book,500,Upstream Error,3.85,ERROR
18/05/2025 16:02:47,REQ-921345673,Hopper,Agoda,Valuation,200,,1.87,SUCCESS
17/05/2025 16:02:47,REQ-921345674,Snap,GOGlobal,Prebook,408,Timeout,4.12,ERROR
16/05/2025 16:02:47,REQ-921345675,Traveloka,Expedia,Book,201,,0.98,SUCCESS
15/05/2025 16:02:47,REQ-921345676,BookingPartner,DOTW,Prebook,403,Authentication Failed,2.14,ERROR
14/05/2025 16:02:47,REQ-921345677,Revolut,Agoda,Valuation,200,,1.11,SUCCESS
13/05/2025 16:02:47,REQ-921345678,Hopper,Expedia,Book,429,Rate Limit,3.55,ERROR
12/05/2025 16:02:47,REQ-921345679,Snap,GOGlobal,Prebook,200,,0.97,SUCCESS
11/05/2025 16:02:47,REQ-921345671,Revolut,Hotelbeds,Prebook,200,,1.23,SUCCESS
10/05/2025 16:02:47,REQ-921345672,Revolut,Hotelbeds,Book,500,Upstream Error,3.85,ERROR
09/05/2025 16:02:47,REQ-921345673,Hopper,Agoda,Valuation,200,,1.87,SUCCESS
08/05/2025 16:02:47,REQ-921345674,Snap,GOGlobal,Prebook,408,Timeout,4.12,ERROR
07/05/2025 16:02:47,REQ-921345675,Traveloka,Expedia,Book,201,,0.98,SUCCESS
06/05/2025 16:02:47,REQ-921345676,BookingPartner,DOTW,Prebook,403,Authentication Failed,2.14,ERROR
05/05/2025 16:02:47,REQ-921345677,Revolut,Agoda,Valuation,200,,1.11,SUCCESS
04/05/2025 16:02:47,REQ-921345678,Hopper,Expedia,Book,429,Rate Limit,3.55,ERROR
03/05/2025 16:02:47,REQ-921345679,Snap,GOGlobal,Prebook,200,,0.97,SUCCESS
02/05/2025 16:02:47,REQ-921345680,Traveloka,Hotelbeds,Book,502,Upstream Error,4.20,ERROR
01/05/2025 16:02:47,REQ-921345671,Revolut,Hotelbeds,Prebook,200,,1.23,SUCCESS
30/04/2025 16:02:47,REQ-921345672,Revolut,Hotelbeds,Book,500,Upstream Error,3.85,ERROR
29/04/2025 16:02:47,REQ-921345673,Hopper,Agoda,Valuation,200,,1.87,SUCCESS
28/04/2025 16:02:47,REQ-921345674,Snap,GOGlobal,Prebook,408,Timeout,4.12,ERROR
27/04/2025 16:02:47,REQ-921345675,Traveloka,Expedia,Book,201,,0.98,SUCCESS
26/04/2025 16:02:47,REQ-921345676,BookingPartner,DOTW,Prebook,403,Authentication Failed,2.14,ERROR
25/04/2025 16:02:47,REQ-921345677,Revolut,Agoda,Valuation,200,,1.11,SUCCESS
24/04/2025 16:02:47,REQ-921345678,Hopper,Expedia,Book,429,Rate Limit,3.55,ERROR
23/04/2025 16:02:47,REQ-921345679,Snap,GOGlobal,Prebook,200,,0.97,SUCCESS
22/04/2025 16:02:47,REQ-921345671,Revolut,Hotelbeds,Prebook,200,,1.23,SUCCESS
21/04/2025 16:02:47,REQ-921345672,Revolut,Hotelbeds,Book,500,Upstream Error,3.85,ERROR
20/04/2025 16:02:47,REQ-921345673,Hopper,Agoda,Valuation,200,,1.87,SUCCESS
19/04/2025 16:02:47,REQ-921345674,Snap,GOGlobal,Prebook,408,Timeout,4.12,ERROR
18/04/2025 16:02:47,REQ-921345675,Traveloka,Expedia,Book,201,,0.98,SUCCESS
17/04/2025 16:02:47,REQ-921345676,BookingPartner,DOTW,Prebook,403,Authentication Failed,2.14,ERROR
